Date,Sales
2018-01-01,1711
2018-01-02,1392
2018-01-03,1716
2018-01-04,1674
2018-01-05,1612
2018-01-06,505
2018-01-07,919
2018-01-08,756
2018-01-09,464
2018-01-10,1707
2018-01-11,1405
2018-01-12,516
2018-01-13,1282
2018-01-14,771
2018-01-15,1326
2018-01-16,822
2018-01-17,1506
2018-01-18,691
2018-01-19,1780
2018-01-20,910
2018-01-21,385
2018-01-22,662
2018-01-23,1256
2018-01-24,1387
2018-01-25,928
2018-01-26,1658
2018-01-27,972
2018-01-28,1198
2018-01-29,1530
2018-01-30,586
2018-01-31,1508
2018-02-01,1183
2018-02-02,1508
2018-02-03,1034
2018-02-04,1357
2018-02-05,1744
2018-02-06,1135
2018-02-07,384
2018-02-08,1368
2018-02-09,559
2018-02-10,824
2018-02-11,1080
2018-02-12,738
2018-02-13,375
2018-02-14,649
2018-02-15,1291
2018-02-16,1036
2018-02-17,1436
2018-02-18,469
2018-02-19,1506
2018-02-20,969
2018-02-21,1290
2018-02-22,400
2018-02-23,606
2018-02-24,1684
2018-02-25,1590
2018-02-26,1585
2018-02-27,1038
2018-02-28,1714
2018-03-01,1202
2018-03-02,841
2018-03-03,1234
2018-03-04,553
2018-03-05,601
2018-03-06,1554
2018-03-07,682
2018-03-08,1338
2018-03-09,906
2018-03-10,1579
2018-03-11,714
2018-03-12,1222
2018-03-13,764
2018-03-14,1413
2018-03-15,1651
2018-03-16,1309
2018-03-17,619
2018-03-18,1275
2018-03-19,584
2018-03-20,814
2018-03-21,950
2018-03-22,1636
2018-03-23,1776
2018-03-24,376
2018-03-25,436
2018-03-26,984
2018-03-27,1742
2018-03-28,1136
2018-03-29,1663
2018-03-30,1754
2018-03-31,1070
2018-04-01,552
2018-04-02,574
2018-04-03,470
2018-04-04,542
2018-04-05,424
2018-04-06,1053
2018-04-07,272
2018-04-08,1080
2018-04-09,347
2018-04-10,400
2018-04-11,863
2018-04-12,983
2018-04-13,1084
2018-04-14,1096
2018-04-15,641
2018-04-16,564
2018-04-17,883
2018-04-18,318
2018-04-19,786
2018-04-20,820
2018-04-21,1008
2018-04-22,729
2018-04-23,753
2018-04-24,1062
2018-04-25,641
2018-04-26,852
2018-04-27,557
2018-04-28,936
2018-04-29,875
